Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
220	-3282.88	-3293.68	10.7921	2.184847	0.1840413	0.0156249	0.0238299	0.0673856	0.0785591	0.0313949	0.0191038	0.0107522	0.0452186	0.0400265	0.0424593	0.0303989	0.0284335	0.0163936	0.0274084	0.02651198	-0.1806207	0.0169679	0.514328	0.00569506	0.0113873	0.449011	0.00261017	12.87577	0.1985677	-3.630158	0.000291861	0.0251059	0.340744	3.63386	0.302088	0.298826	0.13075	0.268336	0.017947	11.06411
230	-3294.41	-3302.88	8.47101	2.150175	0.159913	0.0374921	0.0344348	0.0527135	0.107599	0.0339724	0.0384209	0.01418	0.0540413	0.0133622	0.0566855	0.0239551	0.0285337	0.0187739	0.0323936	0.02487278	0.02990334	0.00669883	0.493192	0.0124893	0.00631451	0.475733	0.00557225	9.802414	0.00845217	-3.693981	9.39919e-05	0.0143019	0.271482	3.71412	0.285887	0.313916	0.125064	0.275133	0.03835551	0.2203639
240	-3288.58	-3300.51	11.9361	2.150175	0.1742131	0.0222156	0.0296564	0.0562209	0.0635922	0.0601425	0.0236218	0.0203473	0.042173	0.0464641	0.0218111	0.0270135	0.0261329	0.0154577	0.0112706	0.02792699	-0.02205684	0.00756869	0.571606	0.00583711	0.0112529	0.40034	0.00339531	11.96917	0.04515903	-3.578162	0.000191086	0.0203473	0.313114	3.66635	0.324947	0.302894	0.124779	0.24738	0.02310219	1.954751
250	-3293.61	-3300.15	6.54125	2.422175	0.1712236	0.0133899	0.0306003	0.0440076	0.108217	0.0689544	0.0344007	0.0454856	0.0280235	0.0770541	0.0258735	0.0269918	0.0313275	0.0393512	0.0216886	0.04227624	-0.364357	0.0123352	0.532439	0.00709057	0.0106285	0.430493	0.00701373	13.49869	0.4313826	-3.16353	0.00016637	0.0189949	0.304543	3.6763	0.294306	0.298409	0.141528	0.265757	0.06702554	6.436093
260	-3287.78	-3298.11	10.3229	2.292974	0.152944	0.0167078	0.0276702	0.0408201	0.0945818	0.0569314	0.030049	0.05538	0.0212279	0.0167763	0.0196186	0.0264829	0.027375	0.0179215	0.0297956	0.03457255	-0.2096299	0.0106174	0.514443	0.00260907	0.0100814	0.459211	0.00303841	18.50751	0.3336885	-3.364695	6.33853e-05	0.0117566	0.250688	3.73749	0.281958	0.301857	0.140709	0.275476	0.1240586	2.689765
270	-3289.72	-3300.92	11.199	2.353812	0.1721249	0.0144214	0.0255593	0.052393	0.103784	0.0334977	0.0409155	0.0363002	0.0297937	0.024656	0.0310423	0.0145714	0.0231441	0.0252522	0.0159199	0.02632458	-0.08750335	0.0128595	0.578798	0.00450371	0.00375283	0.39002	0.0100664	19.80414	0.1029486	-3.637252	0.000173553	0.0193978	0.307135	3.67329	0.276337	0.289231	0.131974	0.302458	0.01544529	6.665375
280	-3291.53	-3302.97	11.436	2.353812	0.1697344	0.0294073	0.027332	0.0297881	0.0595672	0.0553241	0.0714849	0.0379326	0.0315973	0.0289376	0.0301243	0.0139703	0.0333838	0.0262058	0.0293868	0.02784695	-0.09467215	0.014409	0.483281	0.00168087	0.00559079	0.484288	0.0107509	10.31193	0.2096977	-3.581032	0.000154996	0.0183384	0.300245	3.68126	0.319621	0.281889	0.136185	0.262305	0.1150256	1.823053
290	-3287.47	-3297.38	9.9067	2.680261	0.1655633	0.0493286	0.0250669	0.0551543	0.0635573	0.039135	0.0365876	0.0559343	0.0258926	0.0334335	0.0628106	0.0188434	0.0371462	0.0263392	0.0444689	0.04847175	-0.2215425	0.0133142	0.544234	0.00141787	0.00870459	0.420899	0.0114304	11.43031	0.2394808	-3.026774	0.000126246	0.0165611	0.288116	3.6952	0.297672	0.308274	0.12654	0.267514	0.01793828	13.35027
300	-3295.28	-3307.55	12.2734	3.075526	0.1797703	0.0430869	0.0131886	0.0324647	0.0665532	0.033279	0.0596154	0.0377567	0.0306716	0.0142828	0.0354268	0.0273304	0.0315443	0.0246299	0.052459	0.0258169	-0.1178567	0.0184012	0.508603	0.000783044	0.0143973	0.435859	0.0219562	8.065531	0.1281274	-3.656726	0.000244183	0.0229803	0.328844	3.64793	0.297717	0.278865	0.152288	0.271131	0.01027071	12.47504
310	-3288.33	-3295.82	7.48579	2.579533	0.2079457	0.0761503	0.0204589	0.038773	0.0513975	0.0246562	0.0783001	0.042808	0.0364815	0.0451901	0.0105457	0.0169198	0.0641148	0.0295601	0.0406512	0.04498908	0.05079642	0.0168105	0.479506	0.00226528	0.0145701	0.474728	0.0121202	8.094506	0.1224334	-3.101335	0.000691553	0.0384815	0.404075	3.55675	0.303641	0.287508	0.13509	0.273762	0.1732298	0.7067685
