Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
260	-20.8231	0	-20.8231	6.019436	2.511905	0.15358	0.352281	0.139236	0.197746	0.274856	0.184795	0.194155	0.242617	0.334957	0.100694	0.166395	0.0931809	0.221062	0.886951	0.2068091	-0.2724581	0.00304357	0.108246	0.567858	0.105409	0.139326	0.0761169	21.31315	0.2953697	-1.575959	0.347582	0.700337	1.07876	1.87332	0.393015	0.286732	0.251718	0.0685344	0.02291167	12.89167
270	-19.7388	0	-19.7388	1.47587	2.478011	0.201155	0.1892	0.160268	0.387077	0.319575	0.141775	0.336114	0.235749	0.404429	0.213769	0.0793137	0.0652397	0.238859	0.748687	0.2178623	-0.5362916	0.00242548	0.142186	0.298778	0.0850434	0.297382	0.174184	42.29912	0.5540878	-1.523892	0.344362	0.697807	1.07837	1.87946	0.055208	0.299301	0.31943	0.32606	0.01779623	31.13512
280	-19.0233	0	-19.0233	2.256307	2.244729	0.152622	0.185467	0.161695	0.275191	0.336902	0.136526	0.276924	0.190578	0.72352	0.20855	0.140671	0.0610208	0.130209	0.595587	0.1815002	-0.3847638	0.00139027	0.1966	0.501233	0.0424451	0.106079	0.152253	41.47161	0.4103528	-1.706498	0.320837	0.678746	1.07506	1.92536	0.0397707	0.2123	0.155159	0.592771	0.025589	16.0363
290	-17.5037	0	-17.5037	1.703999	1.937839	0.0983767	0.218477	0.224031	0.264858	0.428301	0.157116	0.101752	0.121542	0.590268	0.202321	0.0997959	0.083577	0.0893731	0.431117	0.1995816	-0.4209341	0.00377449	0.157888	0.376831	0.05284	0.219562	0.189105	22.19781	0.447335	-1.611532	0.28574	0.648236	1.06835	1.99767	0.0345049	0.369008	0.0417203	0.554767	0.0264009	16.94393
300	-19.2231	0	-19.2231	1.178959	2.716004	0.084625	0.32531	0.233565	0.190713	0.663793	0.117887	0.0710539	0.141842	0.440876	0.276907	0.119538	0.0747574	0.0830447	0.787636	0.1647293	-0.4827569	0.0161599	0.150304	0.300742	0.153996	0.246678	0.13212	3.139492	0.5206658	-1.803451	0.366024	0.714484	1.0807	1.83879	0.0389284	0.251285	0.0118764	0.69791	0.03790897	13.73463
310	-13.9881	0	-13.9881	4.020996	2.9265	0.121177	0.2977	0.1028	0.248371	0.355578	0.0778389	0.070311	0.226765	0.228249	0.292394	0.206616	0.0817703	0.0738235	0.513516	0.2000525	-0.1685185	0.0113035	0.256685	0.211693	0.168979	0.176905	0.174433	4.228662	0.1932329	-1.609175	0.383495	0.727376	1.08213	1.807	0.0239572	0.48257	0.33599	0.157483	0.02471433	7.818656
320	-23.748	0	-23.748	12.34681	2.796167	0.215639	0.394616	0.172527	0.301143	0.296185	0.0943274	0.0950445	0.208628	0.214754	0.272401	0.099437	0.0845807	0.115915	0.538102	0.1744193	-0.3132274	0.0188879	0.252312	0.119484	0.192311	0.0869862	0.330019	47.66123	0.3394374	-1.746293	0.372851	0.719579	1.08131	1.82626	0.143411	0.228124	0.20801	0.420456	0.02621	12.95068
330	-13.7516	0	-13.7516	4.985051	3.389763	0.240689	0.36773	0.153635	0.214379	0.223672	0.103832	0.060652	0.244478	0.128376	0.183982	0.0922402	0.181217	0.072102	0.373958	0.1809606	-0.05652454	0.0130076	0.0901435	0.37516	0.281385	0.0870243	0.15328	8.084222	0.1102135	-1.709476	0.417335	0.751055	1.08386	1.74775	0.237851	0.275538	0.290777	0.195833	0.05368898	2.052815
340	-19.1107	0	-19.1107	4.629862	2.734434	0.186937	0.70956	0.21734	0.170073	0.176695	0.093211	0.0573514	0.556062	0.137119	0.154869	0.142634	0.175818	0.0785914	0.529484	0.1764454	0.03801814	0.0236741	0.0407878	0.267429	0.226355	0.242372	0.199382	8.985459	0.01488982	-1.734744	0.367613	0.715677	1.08085	1.83586	0.247991	0.0200133	0.147127	0.584869	0.05290796	0.2814287
350	-23.9084	0	-23.9084	9.941861	2.482069	0.201754	0.898514	0.158433	0.123396	0.204413	0.119055	0.0904834	0.837318	0.13653	0.191291	0.229298	0.190556	0.156956	0.469998	0.1579361	0.08278249	0.037041	0.0411551	0.226177	0.165066	0.383978	0.146584	11.88608	0.007031921	-1.845565	0.34475	0.698113	1.07842	1.87872	0.428651	0.253859	0.237122	0.0803672	0.08981441	0.0782939
360	-21.4048	0	-21.4048	5.955103	2.572733	0.215169	1.80853	0.197398	0.120265	0.100376	0.124411	0.103741	0.519739	0.113652	0.173607	0.167069	0.191103	0.176664	0.338894	0.1913314	0.0671706	0.0201106	0.0386991	0.404421	0.203914	0.246938	0.0859169	7.919357	0.005766949	-1.653748	0.353246	0.704743	1.07941	1.8626	0.154289	0.464347	0.324429	0.0569345	0.07293755	0.07906695
370	-22.3087	0	-22.3087	10.76176	3.523388	0.223403	1.13569	0.108929	0.152076	0.21185	0.146682	0.123631	0.255055	0.0893074	0.0973429	0.241806	0.224179	0.142828	0.201531	0.1615849	0.1050433	0.0121323	0.0997119	0.248379	0.243599	0.224286	0.171892	18.22787	0.008464408	-1.822724	0.426095	0.756927	1.08411	1.73287	0.0466648	0.227838	0.722164	0.0033336	0.1135077	0.07457124
380	-18.5478	0	-18.5478	20.63681	2.913082	0.124349	0.713294	0.137942	0.112107	0.149607	0.15102	0.132989	0.212055	0.107514	0.097516	0.230672	0.15946	0.0588746	0.351918	0.1689679	0.06331455	0.0101429	0.166067	0.116562	0.279486	0.215595	0.212147	42.4973	0.03892383	-1.778047	0.382424	0.726599	1.08205	1.80893	0.0423049	0.697917	0.256276	0.00350152	0.1022384	0.3807164
390	-18.2204	0	-18.2204	7.522608	3.132629	0.209998	0.439834	0.241598	0.145649	0.115363	0.223271	0.160729	0.164055	0.121822	0.0520572	0.168009	0.202285	0.0568565	0.329303	0.1394566	-0.008653623	0.0199898	0.183235	0.0435459	0.471489	0.121177	0.160563	22.52764	0.0341111	-1.970002	0.399269	0.738617	1.0831	1.77902	0.0397724	0.826043	0.126824	0.00736097	0.02545748	1.339925
400	-11.7851	0	-11.7851	7.144356	3.311862	0.16632	0.262776	0.216462	0.106005	0.107127	0.206983	0.135014	0.361308	0.138134	0.0523822	0.184333	0.226805	0.0982098	0.172467	0.1472619	-0.05080322	0.0152055	0.130841	0.0935645	0.574457	0.0889016	0.0970301	10.87651	0.0635682	-1.915543	0.412036	0.747453	1.08368	1.75684	0.390236	0.574585	0.0306612	0.00451785	0.01276498	4.979891
410	-14.1543	0	-14.1543	9.913273	3.25675	0.149747	0.140086	0.300078	0.117228	0.197578	0.161655	0.170048	0.314826	0.143257	0.0471364	0.162942	0.178819	0.121611	0.294166	0.1327415	-0.2388329	0.0476273	0.0580473	0.0842506	0.258422	0.221467	0.330186	29.26021	0.2448545	-2.019352	0.408198	0.744821	1.08352	1.76346	0.635131	0.351776	0.00304142	0.0100517	0.006021656	40.66232
420	-19.1863	0	-19.1863	9.067572	4.206743	0.200553	0.30464	0.393703	0.133142	0.163013	0.149703	0.154315	0.436051	0.095667	0.0724854	0.203474	0.240161	0.225508	0.338103	0.149817	-0.3286741	0.0502148	0.295355	0.195644	0.0666988	0.168162	0.223926	38.73727	0.3331004	-1.898341	0.465371	0.782068	1.08432	1.66824	0.290643	0.159657	0.00168101	0.548019	0.004426297	75.25486
